id_cliente,idade,renda_anual,divida_atual,historico_pagamento,score_externo,inadimplente
10001,29,62447,37740,49.7,626,0
10002,25,17151,23726,17.6,268,0
10003,42,21914,48077,2.1,513,0
10004,32,15000,13990,0.0,333,0
10005,23,15000,15398,49.3,308,0
10006,22,23723,10974,40.3,358,0
10007,31,15000,35198,0.0,647,0
10008,41,80221,12755,45.8,528,1
10009,33,72250,23631,44.4,605,0
10010,49,15000,43195,100.0,200,0
10011,33,34407,855,100.0,327,0
10012,26,119842,31134,9.1,643,1
10013,48,35793,1479,61.8,395,0
10014,31,62364,19492,25.8,534,0
10015,37,36252,3353,5.5,488,0
10016,33,63930,29450,0.0,609,0
10017,44,22771,66177,0.0,373,1
10018,18,47748,21396,0.0,552,0
10019,60,55888,35095,56.4,726,0
10020,41,11151,58275,15.8,274,1
10021,40,110539,29481,39.1,594,1
10022,38,21064,20928,0.0,289,0
10023,29,15918,32570,22.7,721,0
10024,18,16466,47936,0.0,617,0
10025,27,56238,19895,62.2,485,0
10026,19,43285,28951,13.5,619,0
10027,46,15000,37009,36.0,835,0
10028,47,91403,9900,24.6,508,1
10029,34,41485,26309,0.0,539,0
10030,33,12296,20451,5.2,200,1
10031,41,84775,16665,72.8,507,1
10032,43,24148,13919,63.5,333,0
10033,36,50334,22275,0.0,555,0
10034,49,30408,1971,55.4,389,0
10035,20,12964,51021,7.4,427,1
10036,49,25975,38262,31.5,649,0
10037,20,44098,40033,26.3,762,0
10038,40,48865,47012,46.1,616,0
10039,19,91898,9090,62.7,647,1
10040,44,16936,31247,0.0,369,1
10041,41,32153,8594,49.8,409,0
10042,40,14060,82637,26.2,315,1
10043,21,68727,26772,76.5,773,1
10044,18,9644,61852,0.0,267,1
10045,38,64900,23007,70.3,558,1
10046,42,12965,73805,0.0,248,1
10047,43,39792,19309,12.9,501,0
10048,34,15000,5978,54.8,327,0
10049,29,15000,4288,5.7,396,0
10050,43,53357,45857,44.2,720,0
10051,21,43649,61021,87.1,505,1
10052,54,85382,9312,72.6,562,1
10053,46,38859,11253,0.0,542,0
10054,20,51855,3070,30.2,462,0
10055,26,15000,29023,14.9,816,0
10056,28,57925,21310,76.2,426,1
10057,51,28446,62585,0.0,336,1
10058,26,70464,8956,81.3,616,1
10059,39,50706,7775,60.3,431,0
10060,43,15000,7818,27.7,348,0
10061,33,32905,44167,27.9,740,0
10062,38,32420,100769,24.9,390,1
10063,32,15000,46179,26.9,847,0
10064,20,73829,10589,69.3,668,1
10065,39,29662,41876,25.9,728,0
10066,20,9676,37273,2.8,334,1
10067,21,39163,125239,27.9,571,1
10068,36,15000,2215,7.4,377,0
10069,26,44340,3034,30.7,466,0
10070,52,15000,2465,0.0,395,0
10071,31,57341,41939,39.3,707,0
10072,29,18367,3730,24.4,385,0
